Judul,Tanggal,Subjudul,Link
Warga Gaza Tolak Skema Bantuan AS-Israel karena Melanggar Martabat,11 Mei 2025,Global,https://www.kompas.com/global/read/2025/05/11/171700770/warga-gaza-tolak-skema-bantuan-as-israel-karena-melanggar-martabat
Putin: Ukraina Tak Pernah Tanggapi Usulan Gencatan Senjata Rusia,12 Mei 2025,Global,https://www.kompas.com/global/read/2025/05/12/142138470/putin-ukraina-tak-pernah-tanggapi-usulan-gencatan-senjata-rusia
Agenda Padat Paus Leo XIV di Pekan Pertamanya sebagai Pemimpin Gereja Katolik Sedunia,12 Mei 2025,Global,https://www.kompas.com/global/read/2025/05/12/133334270/agenda-padat-paus-leo-xiv-di-pekan-pertamanya-sebagai-pemimpin-gereja
"1.500 Warga Gaza Buta akibat Agresi Israel, Gunting Bedah Tersisa 3",12 Mei 2025,Global,https://www.kompas.com/global/read/2025/05/12/132416770/1500-warga-gaza-buta-akibat-agresi-israel-gunting-bedah-tersisa-3
Konflik India Vs Pakistan dan Luka Kolonial yang Tak Sembuh,12 Mei 2025,Global,https://www.kompas.com/global/read/2025/05/12/130331670/konflik-india-vs-pakistan-dan-luka-kolonial-yang-tak-sembuh
"Bill Gates Akan Sumbangkan Seluruh Kekayaannya, Tak Ingin Meninggal dalam Keadaan Kaya",12 Mei 2025,Global,https://www.kompas.com/global/read/2025/05/12/123600070/bill-gates-akan-sumbangkan-seluruh-kekayaannya-tak-ingin-meninggal-dalam
"AS Sebut Israel Tak Berniat Akhiri Perang di Gaza, Kritik Keras Netanyahu",12 Mei 2025,Global,https://www.kompas.com/global/read/2025/05/12/114900970/as-sebut-israel-tak-berniat-akhiri-perang-di-gaza-kritik-keras-netanyahu
"Taliban Larang Catur di Afghanistan, Dianggap Sarana Judi",12 Mei 2025,Global,https://www.kompas.com/global/read/2025/05/12/110256070/taliban-larang-catur-di-afghanistan-dianggap-sarana-judi
"Pesawat di Inggris Gagal Terbang karena Pilot Salah Belok, Bandara Langsung Ditutup",12 Mei 2025,Global,https://www.kompas.com/global/read/2025/05/12/101354870/pesawat-di-inggris-gagal-terbang-karena-pilot-salah-belok-bandara
"Qatar Berencana Berikan ""Istana Terbang"" untuk Trump, Nilainya Rp 6,6 Triliun",12 Mei 2025,Global,https://www.kompas.com/global/read/2025/05/12/092354270/qatar-berencana-berikan-istana-terbang-untuk-trump-nilainya-rp-66-triliun
"Negosiasi AS-China Capai Kemajuan, Sinyal Perang Dagang Mereda?",12 Mei 2025,Global,https://www.kompas.com/global/read/2025/05/12/082137070/negosiasi-as-china-capai-kemajuan-sinyal-perang-dagang-mereda
